movie_id,genreId
257344,878.0
644,18.0
644,878.0
644,12.0
10756,53.0
10756,14.0
10756,35.0
10756,10751.0
10756,9648.0
686,18.0
686,878.0
686,9648.0
9383,28.0
9383,878.0
9383,53.0
179,80.0
179,53.0
76285,12.0
76285,10751.0
76285,14.0
1996,28.0
1996,12.0
1996,14.0
1996,53.0
291805,28.0
291805,12.0
291805,35.0
291805,80.0
291805,9648.0
291805,53.0
10003,53.0
10003,28.0
10003,10749.0
10003,878.0
10003,12.0
1535,28.0
1535,80.0
1535,53.0
2067,878.0
46195,16.0
46195,12.0
46195,35.0
46195,10751.0
2277,35.0
2277,878.0
10357,878.0
10357,28.0
10357,18.0
10357,53.0
4477,80.0
4477,53.0
4477,18.0
8665,18.0
8665,36.0
8665,53.0
9387,12.0
9387,14.0
9387,28.0
921,10749.0
921,18.0
921,36.0
49852,14.0
49852,28.0
49852,10751.0
4464,18.0
4464,36.0
664,28.0
664,12.0
664,18.0
8358,12.0
8358,18.0
9836,16.0
9836,35.0
2502,28.0
2502,18.0
2502,53.0
9772,28.0
9772,53.0
161,53.0
161,80.0
52451,12.0
52451,28.0
52451,53.0
76492,16.0
76492,35.0
76492,10751.0
76492,14.0
4523,35.0
4523,10751.0
4523,14.0
4523,10749.0
59961,28.0
59961,53.0
10481,35.0
10481,10751.0
59108,28.0
59108,35.0
1581,35.0
1581,10749.0
9798,28.0
9798,18.0
9798,53.0
22897,35.0
22897,10749.0
298,80.0
298,53.0
7484,12.0
7484,16.0
7484,10751.0
157350,12.0
157350,28.0
157350,878.0
853,10752.0
10159,12.0
10159,28.0
10159,35.0
10159,53.0
9593,12.0
9593,14.0
9593,28.0
9593,35.0
9593,10751.0
1904,18.0
1904,36.0
1904,10749.0
9615,28.0
9615,80.0
9615,18.0
9615,53.0
51052,18.0
51052,16.0
51052,10751.0
51052,35.0
297,14.0
297,18.0
297,9648.0
9884,28.0
9884,53.0
9884,18.0
16858,18.0
16858,10402.0
62764,12.0
62764,14.0
62764,18.0
62764,35.0
62764,878.0
62764,10751.0
22538,28.0
22538,12.0
22538,35.0
9341,28.0
9341,53.0
9341,12.0
9341,878.0
12107,14.0
12107,35.0
12107,10749.0
12107,878.0
9637,9648.0
9637,12.0
9637,35.0
49049,28.0
49049,878.0
9339,35.0
9339,18.0
9339,14.0
9339,10749.0
16281,27.0
16281,35.0
16281,14.0
39691,35.0
39691,10751.0
8247,12.0
8247,14.0
8247,878.0
11253,12.0
11253,14.0
11253,878.0
1949,80.0
1949,18.0
1949,9648.0
1949,53.0
8452,878.0
310,14.0
310,35.0
27578,53.0
27578,12.0
27578,28.0
954,12.0
954,28.0
