movie_id,prodCompanyId
51052,297.0
51052,2251.0
297,33.0
297,136.0
9884,496.0
9884,788.0
9884,6194.0
9884,43717.0
16858,306.0
16858,441.0
62764,7295.0
62764,11581.0
62764,12005.0
62764,12006.0
62764,12007.0
62764,12008.0
22538,33.0
22538,2527.0
9341,4.0
9341,496.0
9341,2199.0
9341,7161.0
9341,12213.0
9341,12214.0
12107,23.0
12107,33.0
9637,507.0
9637,748.0
9637,6194.0
49049,284.0
49049,6733.0
49049,7437.0
49049,46506.0
49049,46507.0
9339,333.0
9339,441.0
9339,497.0
9339,2608.0
16281,6194.0
16281,14179.0
16281,14180.0
39691,79.0
8247,444.0
8247,7384.0
8247,10104.0
11253,33.0
11253,552.0
11253,840.0
11253,2735.0
11253,7295.0
11253,21498.0
1949,4.0
1949,6194.0
1949,11317.0
8452,11317.0
310,33.0
310,158.0
310,159.0
310,160.0
27578,10254.0
954,4.0
954,44.0
70160,1632.0
70160,5420.0
45243,923.0
45243,2877.0
45243,3527.0
45243,6194.0
364,1382.0
364,6194.0
7518,520.0
7518,521.0
11544,2.0
11544,10217.0
9986,4.0
9986,7311.0
8656,4.0
8656,27.0
8656,1865.0
8656,2478.0
146216,429.0
146216,435.0
146216,491.0
146216,9993.0
9291,4.0
9291,441.0
9291,746.0
9291,2608.0
9291,60378.0
55301,711.0
109418,5.0
109418,2608.0
109418,7431.0
11665,79.0
11665,507.0
11665,748.0
11665,1757.0
11665,6194.0
11665,27352.0
11665,54502.0
11665,60378.0
6964,441.0
6964,735.0
6964,6194.0
11324,4.0
11324,562.0
11324,11317.0
11324,23243.0
12193,12.0
12193,158.0
12193,2308.0
12193,2795.0
12193,2796.0
9928,9383.0
9928,11749.0
754,4.0
754,455.0
754,456.0
754,458.0
754,9195.0
754,25358.0
10202,2.0
10202,2608.0
10202,3538.0
4147,27.0
4147,80.0
4147,306.0
50546,5.0
50546,2608.0
1701,130.0
1701,3589.0
1701,9195.0
1701,78338.0
1701,78339.0
13027,27.0
13027,7296.0
13027,11843.0
13027,20157.0
2289,14.0
2289,932.0
2289,1370.0
2289,2570.0
2289,10102.0
